pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","084","999",282,271,9.60999985e+01,68351,9.85000000e+01,64158,9.38700027e+01,4193,6.13000011e+00,777,1.12000000e+00,261,3.79999995e-01,94382,69389,7.35199966e+01,,0,,7.59300003e+01,"9997",2553,3.98000002e+00
"02","085","999",102,99,9.70599976e+01,24860,9.73199997e+01,23395,9.41100006e+01,1465,5.88999987e+00,377,1.48000002e+00,308,1.21000004e+00,34386,25545,7.42900009e+01,,0,,7.63700027e+01,"9997",670,2.85999990e+00
"02","086","999",15,15,1.00000000e+02,3797,9.92200012e+01,3485,9.17799988e+01,312,8.22000027e+00,27,7.09999979e-01,3,7.99999982e-02,5103,3827,7.50000000e+01,,0,,7.50000000e+01,"9997",94,2.70000005e+00
"02","087","999",266,245,9.21100006e+01,60594,9.83399963e+01,57080,9.41999969e+01,3514,5.80000019e+00,737,1.20000005e+00,288,4.69999999e-01,89414,61619,6.89100037e+01,,0,,7.50000000e+01,"9997",2164,3.78999996e+00
"02","088","999",11,11,1.00000000e+02,2405,9.91800003e+01,2232,9.28099976e+01,173,7.19000006e+00,15,6.20000005e-01,5,2.09999993e-01,3124,2425,7.76200027e+01,,0,,7.76200027e+01,"9997",38,1.70000005e+00
"02","089","999",656,616,9.39000015e+01,160979,9.84700012e+01,152260,9.45800018e+01,8719,5.42000008e+00,1548,9.49999988e-01,950,5.79999983e-01,228947,163477,7.14000015e+01,,0,,7.60599976e+01,"9997",5188,3.41000009e+00
"02","090","999",73,72,9.86299973e+01,15983,9.82099991e+01,15196,9.50800018e+01,787,4.92000008e+00,272,1.66999996e+00,20,1.19999997e-01,24377,16275,6.67600021e+01,,0,,6.77399979e+01,"9997",736,4.84000015e+00
"02","091","999",45,45,1.00000000e+02,9898,9.91399994e+01,9465,9.56299973e+01,433,4.36999989e+00,85,8.50000024e-01,1,9.99999978e-03,14339,9984,6.96299973e+01,,0,,6.96299973e+01,"9997",393,4.15000010e+00
"02","092","999",1299,1233,9.49199982e+01,329005,9.88099976e+01,314884,9.57099991e+01,14121,4.28999996e+00,2096,6.29999995e-01,1862,5.60000002e-01,451791,332963,7.36999969e+01,,0,,7.76200027e+01,"9997",13975,4.44000006e+00
"02","093","999",85,83,9.76500015e+01,21260,9.95899963e+01,19380,9.11600037e+01,1880,8.84000015e+00,86,4.00000006e-01,2,9.99999978e-03,27923,21348,7.64499969e+01,,0,,7.84199982e+01,"9997",690,3.55999994e+00
